系列,编号,派系,卡牌名称,备用卡牌名称,图片链接,类型,独有,卡牌费用,初始威胁,意志力,攻击力,防御力,生命值,任务点,属性,警戒,远攻,限制,隐匿,厄运,遭遇,守护,协同,种族,规则文字,功能,人数,精神,战术,领导,学识,中立,1352
基础,1,领导,阿拉贡,亚拉冈,51223bd0-ffd1-11df-a976-0801200c9001,英雄,*,,12,2,3,2,5,,登丹人.贵族.游侠.,√,,,,,,,,登丹人,"警戒.
响应：在指派亚拉冈执行任务后，从他的资源池中支付1枚资源标记，以重置亚拉冈",攻击,多人,,,,,,
基础,2,领导,希奥杰德,希优顿,51223bd0-ffd1-11df-a976-0801200c9002,英雄,*,,8,1,2,1,4,,贵族.洛汗.战士.,,,,,,,,,洛汗,响应：在指派希优德执行任务后，选择一名被指派执行该任务的英雄。增加1枚资源标记到该英雄的资源池内。,,,,,,,,
基础,3,领导,格罗因,葛罗音,51223bd0-ffd1-11df-a976-0801200c9003,英雄,*,,9,2,2,1,4,,矮人.贵族.,,,,,,,,,矮人,响应：在葛罗音受到伤害后，他刚才每受到1点伤害，增加1枚资源标记到他的资源池中。,,,,,,,,
基础,4,战术,吉姆利,金雳,51223bd0-ffd1-11df-a976-0801200c9004,英雄,*,,11,2,2,2,5,,矮人.贵族.战士.,,,,,,,,,矮人,金雳每有1枚伤害标记，他获得+1【攻击力】。,攻击,,,,,,,
基础,5,战术,莱戈拉斯,勒苟拉斯,51223bd0-ffd1-11df-a976-0801200c9005,英雄,*,,9,1,3,1,4,,贵族.西尔凡精灵.战士.,,√,,,,,,,西尔凡精灵,"远攻.
响应：在勒苟拉斯参与一次攻击并消灭敌军后，放置2枚进度标记到当前任务上。",攻击,多人,,,,,,
基础,6,战术,沙林,萨林,51223bd0-ffd1-11df-a976-0801200c9006,英雄,*,,9,1,2,2,4,,矮人.战士.,,,,,,,,,矮人,当萨林被指派执行任务时，对每个刚从遭遇牌组展示的敌军造成1点伤害。,,,,,,,,
基础,7,精神,伊奥温,伊欧玟,51223bd0-ffd1-11df-a976-0801200c9007,英雄,*,,9,4,1,1,3,,贵族.洛汗.,,,,,,,,,洛汗,行动：从你的手牌中弃除一张卡牌，以使伊欧玟获得+1【意志力】直到本阶段结束。每回合每位玩家可以触发一次本效果。,任务,单人,,,,,,
基础,8,精神,埃莉诺,埃莉诺,51223bd0-ffd1-11df-a976-0801200c9008,英雄,*,,7,1,1,2,3,,刚铎.贵族.,,,,,,,,,刚铎,响应：横置埃莉诺，以取消一张刚从遭遇牌组展示的阴谋牌的“展示后”效果。然后，弃除该卡牌，并以遭遇牌组的下一张卡牌代替。,,,,,,,,
基础,9,精神,敦赫雷,督希尔,51223bd0-ffd1-11df-a976-0801200c9009,英雄,*,,8,1,2,1,4,,"洛汗.
战士.",,,,,,,,,洛汗,当督希尔单独攻击时，他能将场景区中的敌军作为目标。他这样做时，他获得+1【攻击力】。,攻击,,,,,,,
基础,10,学识,德内梭尔,迪奈瑟,51223bd0-ffd1-11df-a976-0801200c9010,英雄,*,,8,1,1,3,3,,刚铎.贵族.摄政王.,,,,,,,,,刚铎,行动：横置迪奈瑟，以查看遭遇牌组顶端的一张卡牌。你可以将该卡牌移至牌组底端。,防御,,,,,,,
基础,11,学识,格罗芬德尔,葛罗芬戴尔,51223bd0-ffd1-11df-a976-0801200c9011,英雄,*,,12,3,3,1,5,,贵族.诺多精灵.战士.,,,,,,,,,诺多精灵,行动：从葛罗芬戴尔的资源池中支付1枚资源标记，以治疗任一角色的1点伤害。（每个回合限制1次）,任务,,,,,,,
基础,12,学识,贝拉芙,贝拉沃,51223bd0-ffd1-11df-a976-0801200c9012,英雄,*,,10,2,2,2,4,,登丹人.游侠.,,,,,,,,,登丹人,行动：横置贝拉沃，以选择一位玩家。该玩家补两张卡牌。每个回合限制1次。,,,,,,,,
基础,13,领导,王城禁卫,都城守卫,51223bd0-ffd1-11df-a976-0801200c9013,盟友,,2,,1,1,0,2,,刚铎.战士.,,,,,,,,,刚铎,,,,,,,,,
基础,14,领导,法拉米尔,法拉墨,51223bd0-ffd1-11df-a976-0801200c9014,盟友,*,4,,2,1,2,3,,刚铎.贵族.游侠.,,,,,,,,,刚铎,行动：横置法拉墨，以选择一位玩家。该玩家控制的每名角色获得+1【意志力】直到本阶段结束。,任务,,,,,,,
基础,15,领导,阿尔诺之子,亚尔诺之子,51223bd0-ffd1-11df-a976-0801200c9015,盟友,,3,,0,2,0,2,,登丹人.,,,,,,,,,登丹人,响应：在亚尔诺之子进场后，选择一张在场景区中或当前与另一玩家交锋的敌军牌。与该敌军交锋。,攻击,,,,,,,
基础,16,领导,雪河斥候,雪界河斥候,51223bd0-ffd1-11df-a976-0801200c9016,盟友,,1,,0,0,1,1,,"洛汗.
斥候.",,,,,,,,,洛汗,响应：在雪界河斥候进场后，选择一个地区。放置1枚进度标记到该地区上。,,,,,,,,
基础,17,领导,银脉河弓手,银光河弓箭手,51223bd0-ffd1-11df-a976-0801200c9017,盟友,,3,,1,2,0,1,,弓箭手.西尔凡精灵.,,√,,,,,,,西尔凡精灵,远攻.,攻击,多人,,,,,,
基础,18,领导,长须奥克屠戮者,长须屠兽者,51223bd0-ffd1-11df-a976-0801200c9018,盟友,,4,,0,2,1,3,,矮人.战士.,,,,,,,,,矮人,响应：在长须屠兽者进场后，对在场的每个半兽人敌军造成1点伤害。,攻击,,,,,,,
基础,19,领导,布洛克·铁拳,铁拳布洛克,51223bd0-ffd1-11df-a976-0801200c9019,盟友,*,6,,2,2,1,4,,矮人.战士.,,,,,,,,,矮人,响应：在你控制的一名矮人英雄离场后，将铁拳布洛克从你的手牌中放置进场,攻击,,,,,,,
基础,20,领导,保持警惕,保持警惕,51223bd0-ffd1-11df-a976-0801200c9020,事件,,1,,,,,,,,,,,,,,,,,行动：选择并重置一张盟友牌。,,,,,,,,
基础,21,领导,同心协力,同心协力,51223bd0-ffd1-11df-a976-0801200c9021,事件,,0,,,,,,,,,,,,,,,,,行动：横置一名你控制的英雄，以选择并重置一名不同的英雄。,,多人,,,,,,
基础,22,领导,刚铎万岁！,刚铎万岁！,51223bd0-ffd1-11df-a976-0801200c9022,事件,,2,,,,,,,,,,,,,,,,,行动：所有角色获得+1【攻击力】直到本阶段结束。所有刚铎角色额外获得+1【防御力】直到本阶段结束。,,多人,,,,,,
基础,23,领导,偷袭,偷袭,51223bd0-ffd1-11df-a976-0801200c9023,事件,,1,,,,,,,,,,,,,,,,,行动：将一张盟友牌从你的手牌中放置进场。在本阶段结束时，如果该盟友依然在场，将其返回你的手牌。,,,,,,,,
基础,24,领导,英勇牺牲,英勇牺牲,51223bd0-ffd1-11df-a976-0801200c9024,事件,,1,,,,,,,,,,,,,,,,,响应：在一张盟友牌离场后，该卡牌的控制者补两张卡牌。,,,,,,,,
基础,25,领导,坚定的决心,坚定的决心,51223bd0-ffd1-11df-a976-0801200c9025,事件,,5,,,,,,,,,,,,,,,,,行动：重置在场的所有角色牌,,多人,,,,,,
基础,26,领导,刚铎宰相,刚铎摄政王,51223bd0-ffd1-11df-a976-0801200c9026,附属,*,2,,,,,,,刚铎.头衔.,,,,,,,,,刚铎,"附属到一名英雄上。 
所附属英雄获得刚铎属性。 
行动：横置刚铎摄政王，以增加2枚资源标记到所附属英雄的资源池中。",,,,,,,,
基础,27,领导,凯勒布莉安的宝石,凯勒布里安的宝石,51223bd0-ffd1-11df-a976-0801200c9027,附属,*,2,,,,,,,宝物.物品.,,,√,,,,,,,"限制.
附属到一名英雄上。 
所附属英雄获得+2【意志力】。 
如果所附属英雄是亚拉冈，他额外获得【精神】资源符号。",任务,,,,,,,
基础,28,战术,老练的斧手,老练的斧手,51223bd0-ffd1-11df-a976-0801200c9028,盟友,,2,,0,2,1,2,,矮人.战士.,,,,,,,,,矮人,,攻击,,,,,,,
基础,29,战术,刚铎长矛手,刚铎长枪兵,51223bd0-ffd1-11df-a976-0801200c9029,盟友,,2,,0,1,1,1,,刚铎.战士.,√,,,,,,,,刚铎,"警戒。 
响应：在刚铎长枪兵被宣告为防御者后，对攻击的敌军造成1点伤害。",防御,多人,,,,,,
基础,30,战术,弓骑兵,弓骑兵,51223bd0-ffd1-11df-a976-0801200c9030,盟友,,3,a,0,2,1,2,,洛汗.弓箭手.,,√,,,,,,,洛汗,远攻。,,多人,,,,,,
基础,31,战术,贝奥恩,比翁,51223bd0-ffd1-11df-a976-0801200c9031,盟友,*,6,,1,3,3,6,,比翁一族. 战士.,,,,,,,,,比翁一族,行动：比翁获得+5【攻击力】直到本阶段结束。在你触发本效果的阶段结束时，将比翁洗回你的牌组。（每个回合限制1次）,攻击,,,,,,,
基础,32,战术,精于剑术,精于剑术,51223bd0-ffd1-11df-a976-0801200c9032,事件,,1,,,,,,,,,,,,,,,,,行动：选择一名角色。该角色获得+1【攻击力】和+1【防御力】直到本阶段结束。,攻击,,,,,,,
